Character,Line
Butters,"Oh J-Jesus, where are my clothes?!"
Stan,Parents can be so cruel. Don't they realize that what a child needs more than anything is security?
Cartman,"It will be a long road, but at the end of that road is Salvation! And I am going to lead you there!"
Cartman,And panda bears for the preschoolers.
Kyle,"Yeah, she's fatter than Cartman."
Kyle,...What the hell are you talking about?!
Randy,"Guess that's my guy. I can take him, no problem."
Kyle,"Okay, I'm gonna go grab mine. I have an idea."
Cartman,You don't wanna see Craig's mom's bush.
Stan,"Yeah yeah, that's totally what a fag does."
Randy,Isn't this great food?
Kyle,"There is no cure, you asshole!"
Cartman,I can shoot you too!
Stan,Ready. Let's see 'em.
Stan,"Mom, wuh we're staying for Sunday school."
Kyle,"Hello?  Excuse me. I'm here to pick up Ike?  Uh, hello? Is Ike here?  Hello?"
Cartman,"That just so you know, the government is watching everything you do! Always watching! They say it's to keep us safe! But what price is safety, Kyle?"
Butters,"Well, I'm just a typical little girl. I like dancin' and ponies. a-and  getting my snootch pounded on Friday night."
Stan,"Jimmy? I don't know what to do about Kyle.  You know, I... I don't think he's ever going to be the same."
Cartman,"Jesus Christ, can you believe that asshole?!"
Kyle,I still say this is a bad idea.
Kyle,They said that Chef works in one of these buildings
Randy,"We did not share an intimate moment, okay?! That makes it sound gay!"
Stan,"Divorced? On no. Does that mean you and Dad don't love me anymore? This is all my fault, isn't it?"
Stan,"Oohh my God, you got splotches on your neck. Are you using any exfoliating products at all??"
Cartman,"HA! Get the hell out of here, Stan!"
Cartman,"No, Kyle, you were right. I see now that little lies can cause huge problems."
Kyle,(Yes. I promise I'll read.)
Kyle,Wow! I guess reading really does suck ass!
Cartman,Who cares?! Throw 'em away!!
Stan,"It's all right, Kyle. We'll go back to the fair and return them."
Cartman,"Oh, your pussy village?"
Cartman,"You are, Jimmy! We've always been best friends. We know everything about each other."
Cartman,"Goddamnit, I have to find that videotape!"
Butters,Teacher said I can't let go till we're back on the bus!
Cartman,"Oh, you guys sure are going a long ways to try and scare me. I want my Salisbury steak!"
Stan,"All right, now we have to switch over to Interbus 65. We made it dude.  We should be home in less than eighteen hours. Then we'll tell everyone what we saw."
Cartman,"Suck my balls, 20!"
Kyle,"Now we just gotta wait for his urection, and I can give it to my dad."
Mr. Garrison,"No! No, I... haven't... taught in over... eight... months."
Cartman,"Screw you guys, screw you guysScrew you guys, scr--"
Cartman,"Dude, my eyes are seriously screwed up. Chef looks like a skinny little white guy."
Kyle,"You know, you used to sit in the living room with your friends and family, and THEY were the ones commenting on whatever was on TV."
Cartman,Tough to hear? My dad was Scott Tenorman's dad. Don't you guys realize what that means?
Kyle,"You won't get more votes than us, asshole!"
Stan,I did not! Those are rumors put out by people who are afraid because they don't know the secret truth.
Stan,Who are you people?
Stan,What's the matter Jimmy? You still seem bummed.
Stan,And there's no score? No crowds?
Butters,How about this? Winter Farm. It looks kinda nice.
Butters,No way! Go back to Annie Nelson! She's built like a Slim Jim!
Kyle,Yeah. They're tryin' to scare everybody 'cause they're gay wads.
Cartman,"Thanks, everybody. Suck my balls!  You've all been so understanding and supportive of my illness. Jizz farmer dick sneeze. And it is because of you... that I have the courage to go on national television tonight. Titty sprinkles."
Kyle,There's no such thing as Mr. Hankey.
Kyle,Well what the hell do we do?
Stan,"Uh. It, it's really cool that we beat the spread against the Cowboys."
Kyle,"Dude, where are we going to find a pumpkin to carve?"
Stan,Kyle figured out a way to get our winning ticket stub back from Kenny!
Kyle,Butters wrote a second book!
Cartman,"Well, I just, I kind of like having you around."
Cartman,"That's what they're called, dude. Get with the times."
Kyle,"Butters, what's happened to you?"
Cartman,"She's got a hell of a chin on her, I'll give her that."
Stan,"This is a mistake, sir, we aren't really a Peruvian flute band."
Stan,Well fine! Go ahead and sue me!
Mr. Garrison,"Yeah, well, I don't want to sound like a dickhole, but I told you so."
Cartman,Mr. Garrison! Mr. Garrison!
Butters,"Dad, I need an advance on my allowance again."
Kyle,"Dad, can we go home? All you ever do since you got this car is drive around and show it off!"
Cartman,"Well all right then, fag! We can't turn back now! The path to adventure lies just beyond this ticket counter! And if you four have really come all this way just to turn back now, then seriously you guys, the FUCK?"
Cartman,"Hahahaha! So long, Kyle!"
Kyle,And that makes sense to you?
Butters,When did you put Craig's mom's bush on the Internet?!
Stan,"Mr. Broflovski, please. Kyle's my best friend."
Butters,"Hohoh! What'd you do, Kyle?"
Kyle,"Dude, it's a dude!"
Cartman,"We're going to the water park,
The water park, the water park.
We're going to the water park,
Me and my best friends, except for Kyle who I don't like."
Cartman,"Dumbass, you don't wanna be grounded for three weeks, do you?"
Cartman,"Thank you, Mayor, for this honorable distinction."
Mr. Garrison,That's the fifth family of them that's moved here. Seems like all of a sudden South Park is being overrun by those types.
Randy,"Get up! Get your shoes on! Gotta get out of here! MOOVE!  Take this!!  We've gotta bring all the water we can!!  Shelly, go get my gun!!"
Butters,"I love you too, Dad."
Cartman,What else do I have to do?!
Kyle,"Dude, we've arrived. We're super, awesome, and cool."
Cartman,"Kevin, can I get some more bounce off that too, 'kay? Let's just go with a 5 6 8 split"
Stan,"Dude, what is this place?"
Cartman,"Gah, French people piss me off."
Kyle,That's it? That's all they did?
Cartman,"No, no, listen, Kyle! I'm on to something. There really is hope."
Butters,Me! I saw a ghost!
Randy,Of course. Marshes have been in the Hare Club For Men for generations. All the way back to the beginning.
Stan,"Dude, you're the one who cut him in half with a chain saw."
Kyle,"Damn, what a freak!"
Stan,"I know, but listen: the finals are all sudden-death elimination, right? That means as soon as we lose one game, our season is over."
Kyle,"Cartman got his, then Kenny. What if tomorrow Stan says he got his and I'm left out? I might not even get to be their friend anymore."
Mr. Garrison,"Oh no, I'm supposed to be at work today."
Kyle,"""Have mercy!""  Yeah ha ha!"
Cartman,"Ooooo! Boxing's scary, you guys!  I'm gonna have Craig learn martial arts!"
Kyle,But what if we're wrong?
Mr. Garrison,I'll just... be going up to bed now.  Gueh... guess maybe I won't even wear those boxers.
Cartman,"Um, ah AWESOM-O is reorganizing your stuff for you."
Cartman,Es ist Zeit für Rache!
Kyle,"Yeah. You know, I've learned something today. Family isn't about whose blood you have, it's about who you care about."
Randy,"That's the TV in our living room, still showing commercials right now.  What do you think about the television, Shelly?  Oh, the news is starting!"
Cartman,"Hey, speaking of pounding ass, here comes Stan's little homo dog."
Kyle,Dude… Chef is gone.
Cartman,"Yes, I have it right hmya."
Kyle,"Dammit! Son of a bitch, dammit!  Oh, sorry."
Cartman,"Hey, I was kidding. There's actually two girls hiding down there. Hey!"
Kyle,"Cartman, you are poor and you are stupid!"
Stan,"Yeah, but Dad, the whole town agreed not to shop at Wall-Mart anymore."
Cartman,No way dude. No way.
Stan,Do you just leave your e-mails open for everyone to read?!
Stan,"Kyle, will you stop worrying? God! Now, we'll all be back here tomorrow with our costumes, and then, when the Halloween party gets going, we'll bust out dead Grandma! Let's go!"
Kyle,"Remember, Tweek: punch hard, punch low."
Stan,"That's not me, that's you!"
Cartman,"No, Kitty, this is my corned beef cabbage!"
Kyle,"A U-Haul. What if we bring Muhammad to South Park in the back of a U-Haul, and he just stays in there out of sight?"
Mr. Garrison,"I don't know Eric, they just do.  Now children, I want each of you to bring in one can of food. And later, the mayor of South Park will divide it up amongst Kenny's family and other poor people."
Randy,"Aww crap!  Here, hold this!"
Butters,"Yeah, and so, and so then, I asked Preacher, ""Well, what about the New Testament?"""
Kyle,All Wall-Marts start a self-destruction sequence if you break a mirror in the back.
Stan,"And best of all, we met this kid named Jimmy. He's disabled, but he doesn't let it ruin his life! He's awesome!"
Cartman,Do you want to be saved from hell-uh?!
Cartman,"You guys, what the fuck are we gonna do?! In case you've forgotten, Trent Boyett is the meanest kid we ever knew. He's gonna tear us apart!"
Butters,"Oh boy, I can't wait to be creative and smart.  Hohhh, it's all thick and g-gooey."
Kyle,"Kenny's ashes were in an urn, and Cartman drank it, thinking it was chocolate milk mix."
Stan,"I said, you should kill yourself? What you do is sort of, unjustifiable? And you know it's unjustifiable? And you don't care? You're the definition of evil? Kill yourself?"
Kyle,"Hey, we'd do anything for our bros, man."
Stan,"Oh no, dude, he's gonna put me with Wendy."
Cartman,"Oh, thank you God! Oh, praise his name!"
Kyle,"You know, I didn't even get home until 2:30."
Randy,"Not much, sup with you guys?"
Stan,What do you expect?! Look at her! She doesn't have most of her brain!
Cartman,"Mom, have you been here all day?!"
Randy,"I could die waiting in this line, Stan. Come on, let's go!  Heeey heh, Josh Garrett. How you doin'?"
Cartman,"Hoh boy, here we go."
Kyle,Do you really think that this is good for Butters? To have his face put up all over signs as the poster child for bullying?
Stan,Get out of here! I'm done with you!  Mom! Mom!  Get him out of here!  Get him out!
Cartman,"Hokay, thanks, Dr. Mephesto!"
Kyle,"Shut the hell up, Cartman!"
Kyle,"Hoh!  Anyways, you put a spin on it by holding it here and-"
Stan,"Alright, now it's time for phase 2."
Kyle,"Dude, they've been doing that for a long time."
Randy,"Look, we're all here because what happened to Laura could happen to any of us. There's nobody regulating these drones and if we don't do something now, we're gonna be up to our navels with bush.  Oh um, up to our necks in trouble. Sorry."
Kyle,"You threw it away, Cartman! It's mine now."
Butters,They'll find love somewhere else.
Kyle,What are you doing here?
Cartman,"This is what you eat before you eat, to make you more hungry.  Welp, food is here, that's it for the appetizers."
Butters,"Uh we, we sure did. Why, we put the fear of God in those ATF sons of guns, I can tell ya."
Stan,"Okay okay, take the form of something else!"
Cartman,Nobody is going anywhere until the police arrive!
Kyle,I need your help!
Stan,"Why do you keep saying ""hella,"" fatass?!"
Stan,"Uh, could you just tell Chef we were here?"
Cartman,Indifferent Rectal Semen Splooge is taken too?! Come! On!
Butters,"Huhyou didn't hear? Well Cartman has some, mental disease called Tourette's Syndrome or somethin'."
Stan,"You're not listening to me, Kyle. Dude, we have to go do this one thing, and then everything can go back to normal!"
Cartman,"I'm sorry for giving you AIDS, Kyle."
Cartman,"Alright guys, alright! If there is a new girl at our school, we're not gonna start putting claims on her and getting into big fights! It's gonna be her choice who she likes the most."
Randy,"All right, what the hell is going on here?!"
Butters,"Well yeah, seeing all that running water makes me always need to pee."
Kyle,"Dude, I just got an IM from Stan that they evacuated the school."
Kyle,But our big game with Lakewood is Saturday!
Cartman,"Which one do I use to kill brain cells? Well, just buy me one of each of 'em, Butters."
Stan,"Yeah, and Butters is the star! The movie company wants to do a photo shoot with him so we can make movie posters!"
Mr. Garrison,"I wasn't good enough for you! Was that it, Dad?!"
Kyle,"Look, however hard you think it for you, it's a lot harder for him!"
Randy,"Autotune. Wanna see how I do it?  I come up with all my best stuff in the bathroom at work. I use this program to import the recordings I make on my phone.  ""Yeah yeah, feeling good on a Wednesday. Sparklinnnnn' thoughts. Givin' me the hope to go ohhhn""  ""Oh! Whoa. What I need now is a little bit of shelter."""
Cartman,"Hey, you guys, you know what we should do? We should go show our weapons to Craig and those guys. They'll be so jealous."
Stan,Do you know anything about corporate takeovers?
Randy,Get over there! Stay low!
Stan,"Well, we tried, dude."
Cartman,"Hey, I was just about to order some dinner. What sounds better in your mouth tomorrow? Thai or Greek?"
Randy,Because I got a DUI and so I'm required to attend AA meetings for two weeks. I was stupid one night and drank too much and then drove a car. That was dumb and I'm not gonna do it again.
Cartman,"You guys! You guys have to do something to stop this! Come on!  Well, looks like at least you've got some sense left in you, Kyle. So what are we gonna do to keep the Mayan prediction from coming true, buddy?"
Kyle,"Hey, look you guys."
Cartman,"Yeah, you shouldn't force your period, Stan. You should let it come, like the morning dew."
Cartman,"Come on, Timmy, get out of that chair-uh!"
Stan,"Yeah, it still hurts a lot, but ...I just realized that there's gonna be a lot of painful times in life, so, I'd better learn to deal with it the right way.  Hey Wendy!  You're a bitch. Token?  Right here, buddy."
Cartman,"Come on, Butters, it's gonna get dark!"
Cartman,"This is awesome, Butters! You really think you got something?!"
Cartman,Faggot I need you to keep surveillance North to North East. Check back in five.
Randy,Where did you get that kind of money??
Kyle,"No, no, no.  We want to make little pot-bellied elephants that people can keep in their houses as pets."
Cartman,"Haa-aa. Yes, thank you."
Stan,"Don't worry, Kyle. Craig's not gonna tell on us. Come, ninjas, let's go.  All right, this is it."
Kyle,"No dude, Butters' pee is in there."
Kyle,"Wow, dude, Terrance got really fat."
Kyle,"Dude, it's a good show."
Cartman,"I am saying this because we must be saved-uh. The Lord is powerful and he will smote the sinners and send them to everlasting hell-uh. If you do not live your life for Him-uh, then to the lake of fire you shall go-uh!"
Mr. Garrison,...Well not like that!
Cartman,Including the late and very talented Billy Mays!
Stan,"Okay, turn on the ignition,"
Cartman,"He's the guy who writes Game of Thrones, Butters! He can let us both know how to handle Kenny, and if we should betray Clyde or not. Let's face it, Butters, this is really about you and me getting XBoxes. The rest are simply there to help us get through those doors."
Cartman,"Well, you told me I had to review my homework before class started."
Kyle,"Don't try and stop me, Stan! This is what my grandma wants!"
Cartman,"Look at me, I'm riding high in Santa's sleigh. It's Christmas special time for me-"
Stan,"Uh, can I ask a question? Why do we do this?"
Cartman,"Dude, this is sooo cool! We only have six days to go before all the money pledged to our company becomes liquid!"
Stan,"Hey, you guys came back!"
Stan,"How, dude? We c- we don't even know if that passage I found goes anywhere."
Kyle,I made you out of clay.
Cartman,"You're too late, Kyle! The president of the network is pulling the episode! Family Guy is as good as dead!"
Kyle,Did the tooth fairy come?
Cartman,"Casa Bonita, here we come! Casa Bonita! Casa Bonita!"
Stan,Sir? Will you take food stamps for three balls?
Cartman,"Something is going on, and I have a right to know where my friend is!!"
Stan,"Holy crap dude, there's a huge turnout tonight."
Kyle,"No it wasn't, fatass! I saw you do it!"
Randy,Is this the line?  Oh God!  Is this whole line people waiting to be cured?
Butters,"Well you guys have already got me in Dutch for gettin' fat, and then I got in double-Dutch for... havin' liposuction, and now you're askin' me to be in triple Dutch?!  Huh-uh! I'll never be that Dutch!"
Stan,"What's a ""tooth trade?"""
Cartman,"Oh my God, dude! Your dad must be the coolest guy in the world!"
Stan,"Uhhh, forever ago, like, 2010?"
Stan,"Yeah, but he didn't say it in anger or anything like that."
Cartman,Yeah! Now get out of here before I kick you in the nuts!
Stan,Does it have Patrick Duffy for a leg
Cartman,Thank you so much. Christ has really blessed us with talent.
Kyle,"Hello, sir. Welcome to the Broflovski Laundromat."
Stan,We did it! We did it!
Randy,OH!  Shelly! Hold on!
Kyle,If it's on the school network we can track the IP address.  This way. In here.  Whoever it is using the computer in the music room.
Randy,"You... must find a cure for SARS, son. And save our people."
Kyle,We don't know who else to talk to.
Randy,Thanks for seeing me. I've got my speech written. I'm ready to let the world know the truth.
Stan,"Look, Mr. Cruise, I'm sorry I said you were a fudge packer and that seaman on your back."
Cartman,"I know what's gonna happen, Mom. You wanna know what's gonna happen?"
Stan,"Yeah, hi. Um, you should kill yourself?"
Stan,"We, we got it."
Kyle,"Of course it smells like ass, retard. It's a sewer!"
Stan,"Even Harbucks Coffee started off as a small, little business. But because it made such great coffee, and because they ran their business so well, they managed to grow and grow until it became the corporate powerhouse it is today. And that is why we should all let Harbucks stay!"
Kyle,Because Butters isn't a total dick to me!
Cartman,You're the crappiest band I have ever heard!
Butters,"But I was just trying to stop him, and you said-"
Cartman,"Dürfen wir der Kind dort..  ...geboten?  Voilà, er ist Jud. Eh? Ein schöner safter Jud. Er ist friiisch. Und wunderhübsch, wunderhüüübsch."
Kyle,"Do you think we did a good thing, Stan?  I mean, no one even seemed to notice."
Cartman,"Haha, Teacher, we're traveling back in time to third grade!-God-damnit you guys, you seriously said this time you'd snap into it with me."
Cartman,"Many of you knew Kenny McCormick. He was a playful school-going eight-year-old. And then yesterday, he was  smacked down by the Lord-uh!  God bitch-slapped him right to the fiery depths of hell! So when will you go? Tomorrow? Ten years? Does it mattah?! No! Because unless you give this life to the Lord, that life belongs to Satan-uh!  But we cannot worship God in that church where that priest of sin resides,  so we will build a new church-uh. With crystal walls, a ceiling 80 feet high, and a slide that connects this part hmya  to this part hmya.  Who will help us?"
Cartman,Get on the flight! Let's move! Let's go go go go!  Oh my God!
Stan,"I don't think we stand a chance in this debate, 'cause Wendy's leading the other side."
Kyle,"Hey. Ms. Crabtree had that little TV, for the trainng video? Maybe we can watch TV on it."
Stan,"Heyhey whoa, you shouldn't be fighting anybody. What about your cancer?"
Kyle,I don't need to. It wouldn't work.
Kyle,We totally think you should have more money.
Stan,"Serves you right, Cartman! You're a sellout!"
Cartman,"Jewpaca- look, it's nothing. Forget I said anything."
Kyle,"I'm sorry, Kip, but I really can't be your friend anymore. It was a great ride, but I must say goodbye. This is the hardest thing I've ever had to do, but ending a friendship... is never easy."
Cartman,"Mom, please can we just leave?"
Butters,"Yeah, how can the 17% be sticking it to the 83%?"
Cartman,"No! Dude, we gotta go to the wave pool first. It's so dope, as long as there aren't any minorities."
Butters,"Eric, are you sure this is a good idea?"
Kyle,"Yeah, it's Ms. Choksondik alright."
Stan,"This video can change how people think about bullying! It needs to be seen by everybody, Kyle!"
Cartman,Eey! Freline furton! Sucky-sucky!
Cartman,Yes. Who would take care of them?
Cartman,"No, Chef, I'm not gonna let you go out there!"
Butters,"It's time to let go, Eric. Don't you see there's no other way? Just let the government into your heart."
Cartman,"Ah, I can't believe that son of a bitch!"
Randy,"I'm gonna pick you boys up right here at four o'clock, you got it?"
Kyle,Ah-ah-ah-are wooden desks all that available? I usually prefer the plastic ones because these give me splinters.
Kyle,You know what's goin' on. It's Smackdown tonight. Which means we might have to fight each other.
Cartman,"Go kick his ass, Stan."
Randy,"Good night, Stanley. We'll uh see you in the morning."
Randy,"Please, girlfriend. You look like some kind of Little Orphan Annie nightmare."
Cartman,God these guys are such dorks!
Kyle,It means Jehovah is going to use his powers to keep the Pharaoh from letting us go.
Cartman,"Dude, screw this!  Who wants to hit a dumb little ball around?!"
Cartman,"Look.  But I don't think it's for usin', I think it's just for lookin' through."
Cartman,We've got to fight them off!  Stay away from Butters! He's humanity's last hope!  Awww! He bit me! He bit off my hand!!
Cartman,Well here.  Roy keeps the keys in the glove box.
Stan,"Ih it's okay, Mr. Gore, I, I believe you."
Kyle,Yeah. He doesn't even know that the South loses the Civil War.
Randy,Wha- what the hell is wrong with you? That's not right.
Kyle,Really?! What's there not to understand?!
Stan,"That's bullcrap dude, let's go get our money back."
Randy,My son is in there! Duh-uh!  Stan?!  Stan! Stan!
Cartman,"Gentlemen, thank you for coming. This is the beginning of a great time in our lives.  God has finally spoken to me, you guys. And he has told me how I can make $10 million dollars."
Cartman,"Fine! In the meantime, shut your Goddamned daywalker mouth!  Let's see, where was I? Oh yes! Like vampires, the ginger gene is a curse,  and unless we work to rid the earth of that curse, the gingers could envelop our lives in blackness for all time. It is time that we all admit to ourselves that gingers are vile and disgusting. In conclusion, I will leave you with this: if you think that the ginger problem is not a serious one,  think again."
Kyle,"Dad, will you just listen to me for a second?"
Kyle,"Stan, if I didn't know you better, I would almost think you're doing this because you wanna play with girls."
Kyle,"Dude, it's been twelve hours. Where the hell are our parents?!"
Randy,"...But you just don't wanna, add me, as a friend?"
Stan,Oh my God! They killed Kenny!
Cartman,"And now it can use Wellington Bear calculator, too."
Kyle,What the hell is that?  Oh my God.
Stan,"All right, ninjas! Let's go protect the world!"
Randy,"Oh brother. Well, good job, dad! Look at you now!"
Randy,"Ew, Dad! Not in front of Stanley!"
Randy,Yeah thanks.  Asshole.
Cartman,"No! No, he has to suck my balls!  NO! KYYYYLE!"
Randy,"It's obvious to me, girl"
Stan,"I don't know. We, we could start breathing gas fumes."
Cartman,"Hoho, I don't think so, Scott! I'm going to Fort Collins myself!"
Cartman,"Okay. Where were we, Kenny? Oh yeah.  ""Quick, Captain, we must destroy the Gengrin across the fire."" Give me the space cruiser. Give it, Kenny. M'yah!"
Cartman,"You see guys, it all worked itself out. Tadow, tadow, how you like me now? Feel a little silly now, Kyle? Tadow, how you like me now?"
Cartman,"One thousand dollars, yeah!"
Mr. Garrison,"Congratulations Eric, on writing the award winning paper."
Stan,Well I don't drink coffee.
Butters,"Listen, buddy! You promised that pizzas were on the way! If they don't show up right now, you're gonna have a dead kid in your hands! Do you hear me?!"
Kyle,I'm here to bust out Steve.
Stan,Yeah. Now what are you going to do?
Stan,"Yeah, he said some guy at work is Lorde's uncle or something."
Stan,"This better have a point, dude. This really better have a point."
Stan,You know what you guys are? You guys are nothing but mung?
Cartman,"Right, it's gotta be an awesome party for..."
Kyle,That dirty no-good sonofabitch!
Kyle,What is this? What's going on?
Kyle,Did they say if it's waterproof?
Stan,"Yeah! Well, not this time!"
Butters,"Oh. Well, uh okay."
Stan,"Nono, you guys gotta see Funnybot in Hangover 3. I'm telling you, it's his best work."
Randy,When was the last time you had anything interesting to say? It's always gossip and stupid crap!
Cartman,"Oh don't even start, Kenny! Just because you guys didn't buy into the bracelets doesn't mean you're smarter than me, okay?!  What's wrong with him?"
Butters,"Oh, sorry. I thought you were Mr. Pickles."
Randy,"No, no-no-no-no. We, we did your meeting and we did your lunch, we're finished, okay."
Kyle,"Dude, it's coming through the window!"
Cartman,"Nuh uhn, the South is gonna win."
Kyle,I made you out of clay.
Cartman,"Well good going, Mom! You completely screwed me over!"
Stan,"Here Cartman, have some Snacky Cakes."
Kyle,"Yeah, this guy.  Vladimir Stolfsky. He had videos on YouTube of every single rally."
Cartman,What? People see the truth?
Kyle,But that doesn't mean it has to go off the air. You should like that show. Your sense of humor is just like Family Guy.
Butters,You just got me busted forever!
Kyle,"Rebecca, there's this dance, see, the South Park Elementary Bay Of Pigs Memorial Dance, and uh, now I was wondering, ih-ih-ih if you wanna go."
Kyle,What do you want?!
Butters,"Hey, Baahir, uh since we get to go home, you wanna come over uh, play checkers?"
Stan,"Butters, where are the ballots going?! Where are they going?!"
Stan,This is more math than I've ever seen you do.
Cartman,"And I want a Baltor soldier doll for Easter, and five Crash'n'Go RC cars, you got that?! Do you have that?!"
Cartman,Would you mind stepping aside? I have a purchase to make.
Mr. Garrison,Mother won't hear the truth!
Cartman,You don't understand. There's no Denver left to go back to!
Butters,"Wokay, how about this, Dougie?  I-I'm going' to pose as a real-estate agent and con everyone in town into buyin' a monorail. And then skip town with all their money.  No?"
Kyle,They say they can do whatever they want because imaginary things aren't real!
Butters,"I've done what you've asked.  A case of Dr Pepper and Cherry Twizzlers. Who are you gonna give this to? I-I mean, vampires can't eat people food."
Cartman,"Okay, fine. Butters, you cover my mom's head with a pillow and Kyle can shoot her in the face."
Stan,"Dolphins don't live in igloos, that's eskimos!"
Butters,"I can't  I can't breathe too good. Eric, I can't see. Are you still there? Oh... I think I overdid it. I have to take this thing off. What the hell? What the hell is that?! AAAH!"
Kyle,"The thing is, Ms. Claridge, we did a lot of stupid things when we were kids."
Randy,"Shelly, I'm sorry your little friend was killed by Spider-Man tonight. Just know that... for Spider-Man to do what he did, he must have had a very good reason. Spider-Man works in mysterious ways, Shelly. And wherever he is, he loves you."
Cartman,"All right Butters, will you go document the vampires' movements so we know what their intentions are."
Cartman,"What the hell is ""Hooked On Monkey Fonics?"""
Stan,"Hey, look, Craig just walked in."
Randy,"Sharon, I miss being intimate with you! Everything was so passionate and then it just... dropped off. I feel like we're losing our bond."
Kyle,I don't get it either.
Stan,"I know, but it mellos me out, okay?!"
Cartman,Our gentle friends of the sea have saved the day. Because they know that only we can save them from the Japanese.
Randy,"You didn't realize! What are ""Canadian coins""?"
Kyle,"I am not, not, d-rinking pee!"
Cartman,"Oh, what are you?! A cissy too, Clyde?!"
Cartman,What are you doing?!  You have to listen to me! You can't sweep this problem under the rug!  The town is in serious danger!
Cartman,"Isn't this great, you guys? Gettin' away from it all, leaving all our cares behind?"
Cartman,"Alright, Brother Kyle, it is time for us to die!"
Stan,"Wha-wait, Lorde sounds like a girl."
Cartman,"How could-? How could you lie to me, Mother? Lie right to my face?"
Cartman,"Yeah?  Well I sneaked around my mom's closet too, and saw what I'm getting.  The Ultravibe Pleasure 2000."
Kyle,Ike. Ike!  It's over.
Stan,"Ahh, no thanks, that's okay."
Stan,I don't know. Let's go see.
Cartman,"Unfortunate accident? You mean, like Geena Davis getting her own TV show?  Oh."
Stan,"Yeah. Yeah, I get you."
Mr. Garrison,What the...?  Whoa-hey-way-wait-aaah.  Aaaah. Mr. Hat! Save yourself!
Butters,Ah I hope not! I wanna see Eric kick the crap out of her!
Cartman,"Mom, I am serious! This has gone on long enough! Get that guy out of here and give me a piece of chicken!  That's how you want it, bitch?! Fine!  I hate you! I'm running away!"
Randy,"Please I, I don't want any trouble."
Kyle,I told you guys he'd be here!
Cartman,"Dude, we just need you to come down to City Wok real quick so they can see how skinny you are!"
Stan,"Dude, you didn't tell him Terrance would be there."
Stan,"Yeah, I remember hearing about that."
Stan,"This isn't a game, Mom. We're not coming out until know the calves will be safe."
Cartman,"Okay, everyone open your uplifts and autolocate to Stan."
Mr. Garrison,Do you have a feather on your head?
Cartman,"Let me tell you something! Let me tell you something! It's true, I love Stan the Man with all my heart, but... I want to be with Juggernaut now."
Stan,We made a promise... to Jesus!
Cartman,"That's what this is all about, Craig. We're all trying to get XBox Ones on Black Friday."
Cartman,Jews can't be firemen.
Kyle,They're goin' to show the new Terrance & Phillip trailer
Cartman,"This is abuse! I am a child, and I am entitled to attention!"
Stan,What do I have to do?
Butters,Okay.  Ow. Ooww!
Stan,"Wendy, it was just a quick e-mail to Kenny. New stories pop up on Eavesdropper every hour. People are gonna forget all about this."
Cartman,"Yeah well, it's not us you have to worry about. It's Token.  He is gonna want to kick your cracker teeth in."
Stan,That's right.  But they didn't say anything about going in the back.
Kyle,"Stan! Dude, is that you?"
Stan,"Thanks for the ride, Manuel."
Stan,"Dude, I think it's Saturday now."
Kyle,Would you stop scaring everyone with your dumb ass myth!
Stan,The stalls were full and I didn't wanna miss recess! I didn't think it would turn into such a big deal!
Cartman,"Kyle, can I talk to you over here for a second?  Kyle? Why do you do these things to me?"
Cartman,Butters get back to my room! The veracrosses are destablilzing!
Kyle,"It's gotta be the Komfort Inn. It's the nicest hotel in South Park. Cartman, go get your camera."
Cartman,"Because they don't fucking care! I've told you this! They don't give a shit about the students, and they live to make us miserable!"
Randy,"Yeah, well uh, The Lord of the Rings wasn't the only thing I rented from the video store.  I also rented... a porno."
Kyle,"No, Mom-uh, he, he doesn't want you kissing him."
Randy,Jesus. Everyone's gonna go to Starbucks now.
Kyle,"You figured that out, huh?"
Kyle,Hey! Maybe you can come with me. Then it won't suck so hard.
Kyle,How is it that Ms. Ellen was suddenly arrested for being an Iraq-
Butters,There's vampires in the school!
Cartman,I'm grubbin'. What's it look like?
Cartman,"Well, that doesn't matter, because I have an idea that is totally tits."
Kyle,You can't leave! The show starts soon!
Randy,"Well, something. I mean, you can't just wait until she's a teenager and expect her to figure out everything all at once."
Stan,"Uh, Mr. Garrison, haven't you figured it out? Timmys' retarded."
Kyle,On Wednesday or Thursday?
Cartman,"Whoa, check it out, guys, the parachute level."
Randy,"There are these ginger fundamentalists saying that if we don't give Muhammad to them, they are going to bomb us."
Randy,Stan! Get in the car! We have to evacuate!
Cartman,"God damn it, lazy-ass whore."
Stan,"Alright, it's settled.Come on, Butters."
Butters,"Hey, I was about to win!"
Kyle,"Hold tight, buddy. We're gonna find a cure for you."
Cartman,I do! I do care! Look how much.  Look. Look how much I care.
Randy,"You don't see the point! Oh, you young people just make me sick!"
Stan,"But the monster outside couldn't be Mr. Garrison, 'cause Mr. Garrison used a gun."
Randy,Awwwgh. Oh fuck yeah.
Cartman,"I am studying, Mom. I'm learning with the Fonics Monkey."
Cartman,"Dude, why are we going to hang out with this guy?"
Cartman,Pooinshower. Madalen shine debaur. Huelar she mashartah me shur har.
Cartman,"Ah, Mr. Hansen? I'm afraid I can't do the show."
Cartman,"No, no, he's done for. Come on!"
Kyle,I'm... glad... that you guys can just keep living. I don't think I can.
Cartman,"It was here, I swear it! I don't know why it's not showin' up this time!"
